지점,지점명,위도,경도
90,속초,38.2509,128.5647
93,북춘천,37.9475,127.7547
95,철원,38.1479,127.3042
98,동두천,37.9019,127.0607
99,파주,37.8859,126.7665
100,대관령,37.6771,128.7183
101,춘천,37.9026,127.7357
102,백령도,37.9661,124.6305
104,북강릉,37.8046,128.8554
105,강릉,37.7515,128.891
106,동해,37.5305,129.1191
108,서울,37.5714,126.9658
112,인천,37.4777,126.6249
114,원주,37.3375,127.9466
115,울릉도,37.4813,130.8986
119,수원,37.2723,126.9853
121,영월,37.1813,128.4574
127,충주,36.9705,127.9525
129,서산,36.7766,126.4939
130,울진,36.9918,129.4128
131,청주,36.6392,127.4407
133,대전,36.372,127.3721
135,추풍령,36.2203,127.9946
136,안동,36.5729,128.7073
137,상주,36.4135,128.1576
138,포항,36.0327,129.38
140,군산,36.0053,126.7614
143,대구,35.8279,128.6285
146,전주,35.8408,127.1172
152,울산,35.5825,129.3347
155,창원,35.1702,128.5728
156,광주,35.1729,126.8916
159,부산,35.1047,129.032
162,통영,34.8453,128.4356
165,목포,34.8169,126.3812
168,여수,34.7393,127.7406
169,흑산도,34.6872,125.451
170,완도,34.3968,126.7001
172,고창,35.4266,126.697
174,순천,35.0671,127.3915
177,홍성,36.6358,126.6715
181,서청주,36.6436,127.3275
184,제주,33.5141,126.5297
185,고산,33.2938,126.1628
188,성산,33.3868,126.8804
189,서귀포,33.2462,126.5653
192,진주,35.1638,128.04
201,강화,37.7074,126.4463
202,양평,37.4886,127.4895
203,이천,37.264,127.4842
211,인제,38.0588,128.169
212,홍천,37.6836,127.8804
216,태백,37.1693,128.9897
217,정선군,37.382,128.6657
221,제천,37.1593,128.1943
226,보은,36.4882,127.7314
232,천안,36.7622,127.2917
235,보령,36.3263,126.5666
236,부여,36.2713,126.9208
238,금산,36.1068,127.4892
239,세종,36.4817,127.2892
243,부안,35.7323,126.7214
244,임실,35.6119,127.2934
245,정읍,35.563,126.8622
247,남원,35.4011,127.4069
248,장수,35.6496,127.5255
251,고창군,35.4266,126.697
252,영광군,35.2836,126.4778
253,김해시,35.2268,128.8931
254,순창군,35.3712,127.1287
255,북창원,35.2267,128.6705
257,양산시,35.3226,129.0204
258,보성군,34.7634,127.2124
259,강진군,34.6285,126.7694
260,장흥,34.6888,126.9195
261,해남,34.5538,126.5691
262,고흥,34.6183,127.2757
263,의령군,35.3212,128.2848
264,함양군,35.5114,127.7454
266,광양시,34.9436,127.7082
268,진도군,34.473,126.2585
271,봉화,36.8906,128.7303
272,영주,36.8718,128.5169
273,문경,36.6273,128.1488
276,청송군,36.4351,129.0401
277,영덕,36.5304,129.4128
278,의성,36.3561,128.6886
279,구미,36.1306,128.3206
281,영천,35.9774,128.9514
283,경주시,35.8174,129.2009
284,거창,35.6674,127.909
285,합천,35.5651,128.1699
288,밀양,35.4915,128.7441
289,산청,35.413,127.8791
294,거제,34.8452,128.6046
295,남해,34.8166,127.9264
296,북부산,35.2104,129.0792
