도매시장,위도,경도
서울가락도매,37.4928,127.1164
대구북부도매,35.908,128.5375
서울강서도매,37.5539,126.8252
대전노은도매,36.3776,127.3236
구리도매시장,37.6083,127.1437
광주서부도매,35.1226,126.8569
광주각화도매,35.1764,126.9389
인천구월도매,37.4418,126.7077
대전오정도매,36.3578,127.4116
부산엄궁도매,35.1319,128.9698
청주도매시장,36.642,127.452
울산도매시장,35.5407,129.3458
인천삼산도매,37.5255,126.741
부산반여도매,35.2133,129.1171
창원내서도매시장,35.2505,128.5087
충주도매시장,37.0055,127.9152
안양도매시장,37.3879,126.9691
수원도매시장,37.2519,127.0195
안산도매시장,37.315,126.8524
원주도매시장,37.3275,127.9254
순천도매시장,34.9298,127.519
정읍도매시장,35.6262,126.8398
전주도매시장,35.8682,127.1174
구미도매시장,36.195,128.3243
강릉도매시장,37.7562,128.8924
춘천도매시장,37.8687,127.7335
익산도매시장,35.9181,126.9388
천안도매시장,36.8614,127.1498
창원팔용도매시장,35.2494,128.618
포항도매시장,36.0886,129.345
진주도매시장,35.2104,128.1348
안동도매시장,36.5684,128.7294
